Fecha,Ubicacion,Colonia,Municipio,Address,Tipo,Google Maps URL,latitude,longitude
44645,TERRENO DE CULTIVO DE LA COLONIA LA LUZ DE LA COMUNIDAD DE JESÚS NAZARENO,JESÚS NAZARENO,PALMAR DE BRAVO,"JESÚS NAZARENO, PALMAR DE BRAVO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.8800499,-97.624978",18.8800499,-97.624978
44651,AUTOPISTA TLAXCO TEJOCOTAL KM 38 + 500,MICHAC,CHIGNAHUAPAN,"MICHAC, CHIGNAHUAPAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.8527776,-98.0508333",19.8527776,-98.0508333
44662,CALLE COL.LA PERLA Y LA JOYA,LA JOYA,RAFAEL LARA GRAJALES,"LA JOYA, RAFAEL LARA GRAJALES, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.2342082,-97.80440779999999",19.2342082,-97.8044078
44676,PRIV YUCATAN NUM 203 - AVENIDA 2 SUR,EL CARMEN HUEXOTITLA,PUEBLA,"EL CARMEN HUEXOTITLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0300563,-98.20557799999999",19.0300563,-98.205578
44679,REVOLUCION - 16 DE SEPTIEMBRE E INDEPENDENCIA,EL ARENAL,SAN MARTÍN TEXMELUCAN,"EL ARENAL, SAN MARTÍN TEXMELUCAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.2886449,-98.4304173",19.2886449,-98.4304173
44685,CANAL DE SAN APARICIO AVILA CAMACHO,SAN SEBASTIÁN DE APARICIO,PUEBLA,"SAN SEBASTIÁN DE APARICIO, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0952333,-98.16595129999999",19.0952333,-98.1659513
44685,CALLE EMILIANO ZAPATA NUM. 2,HUAQUECHULA,HUAQUECHULA,"HUAQUECHULA, HUAQUECHULA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.7683399,-98.54179660000001",18.7683399,-98.5417966
44690,Nicolás Bravo -AVENIDA REVOLUCION E HIDALGO,SANTA MARÍA MOYOTZINGO,SAN MARTÍN TEXMELUCAN,"SANTA MARÍA MOYOTZINGO, SAN MARTÍN TEXMELUCAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.2530742,-98.4101984",19.2530742,-98.4101984
44692,"CARRETERA FEDERAL APROXIMADAMENTE KM-144+500,",JALPAN CENTRO,JALPAN,"JALPAN CENTRO, JALPAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.4774239,-97.9425801",20.4774239,-97.9425801
44692,JOSEFA ORTIZ ENTRE 5 Y 7 SUR,NICOLÁS BRAVO,TEHUACÁN,"NICOLÁS BRAVO, TEHUACÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.4684893,-97.3808206",18.4684893,-97.3808206
44698,"SAN DIEGO ECATEPEC NO, 101",CHACHAPA,AMOZOC,"CHACHAPA, AMOZOC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0475079,-98.0942681",19.0475079,-98.0942681
44699,CAMINO DE TERRACERIA,ZINACATEPEC CENTRO,ZINACATEPEC,"ZINACATEPEC CENTRO, ZINACATEPEC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.3391595,-97.2396659",18.3391595,-97.2396659
44706,"COL. EL ARENAL, CAMINO A SAN PEDRO",ZAPOTITLÁN SALINAS,ZAPOTITLÁN,"ZAPOTITLÁN SALINAS, ZAPOTITLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.3292323,-97.4746759",18.3292323,-97.4746759
44708,3 SUR ESQUINA SAN FRANSICO,SAN MATEO MENDIZABAL,AMOZOC,"SAN MATEO MENDIZABAL, AMOZOC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.03796,-98.07652879999999",19.03796,-98.0765288
44723,CALLE 5 DE FEBRERO NO. 71,AHUATA,YAONÁHUAC,"AHUATA, YAONÁHUAC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.8798898,-97.46619729999999",19.8798898,-97.4661973
44733,VICENTE GUERRERO 14 ESQ MOCTEZUMA Y LA LUZ,GUADALUPE,PUEBLA,"GUADALUPE, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.0888339,-98.12030759999999",18.0888339,-98.1203076
44739,CARRETERA ESTATAL AXOCHIAPAN - CHIAUTLA DE TAPIA A LA ALTURA DEL PARAJE DENOMINADO EL BASURERO PERTENECIENTE A LA JUNTA AUXILIAR DE TLANCUALPICAN,CHIAUTLA DE TAPIA,CHIAUTLA,"CHIAUTLA DE TAPIA, CHIAUTLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.3008961,-98.60438649999999",18.3008961,-98.6043865
44740,CALLE 16 DE SEPTIEMBRE ESQUINA 119 OTE,GRANJAS PUEBLA,PUEBLA,"GRANJAS PUEBLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9816554,-98.2329191",18.9816554,-98.2329191
44742,CANAL DE VALSEQUILLO,SAN GABRIEL TETZOYOCAN,YEHUALTEPEC,"SAN GABRIEL TETZOYOCAN, YEHUALTEPEC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.7589037,-97.7009416",18.7589037,-97.7009416
